,date,val (Mbbl)
0,10/27/2023,773167
1,10/20/2023,772394
2,10/13/2023,771022
3,10/06/2023,775513
4,09/29/2023,765343
5,09/22/2023,767267
6,09/15/2023,769686
7,09/08/2023,771222
8,09/01/2023,766977
9,08/25/2023,772486
10,08/18/2023,782476
11,08/11/2023,788016
12,08/04/2023,793376
13,07/28/2023,786530
14,07/21/2023,803579
15,07/14/2023,804179
16,07/07/2023,804886
17,06/30/2023,799341
18,06/23/2023,802307
19,06/16/2023,813261
20,06/09/2023,818811
21,06/02/2023,812774
22,05/26/2023,815093
23,05/19/2023,813122
24,05/12/2023,827210
25,05/05/2023,824598
26,04/28/2023,824571
27,04/21/2023,827856
28,04/14/2023,833931
29,04/07/2023,840124
30,03/31/2023,841127
31,03/24/2023,845270
32,03/17/2023,852759
33,03/10/2023,851642
34,03/03/2023,850092
35,02/24/2023,851786
36,02/17/2023,850620
37,02/10/2023,842973
38,02/03/2023,826690
39,01/27/2023,824267
40,01/20/2023,820127
41,01/13/2023,819594
42,01/06/2023,811187
43,12/30/2022,793026
44,12/23/2022,794080
45,12/16/2022,796858
46,12/09/2022,806400
47,12/02/2022,800917
48,11/25/2022,808200
49,11/18/2022,822183
50,11/11/2022,827474
51,11/04/2022,836974
52,10/28/2022,836622
53,10/21/2022,841663
54,10/14/2022,842492
55,10/07/2022,847781
56,09/30/2022,845592
57,09/23/2022,853142
58,09/16/2022,857932
59,09/09/2022,863690
60,09/02/2022,869662
61,08/26/2022,868344
62,08/19/2022,874737
63,08/12/2022,886110
64,08/05/2022,896568
65,07/29/2022,896408
66,07/22/2022,896631
67,07/15/2022,906758
68,07/08/2022,912201
69,07/01/2022,915828
70,06/24/2022,913434
71,06/17/2022,923146
72,06/10/2022,930326
73,06/03/2022,936081
74,05/27/2022,941325
75,05/20/2022,951814
76,05/13/2022,958804
77,05/06/2022,967208
78,04/29/2022,965712
79,04/22/2022,967494
80,04/15/2022,969713
81,04/08/2022,982434
82,04/01/2022,976951
83,03/25/2022,978272
84,03/18/2022,984722
85,03/11/2022,991420
86,03/04/2022,989058
87,02/25/2022,993445
88,02/18/2022,998406
89,02/11/2022,996336
90,02/04/2022,997902
91,01/28/2022,1004055
92,01/21/2022,1006972
93,01/14/2022,1005847
94,01/07/2022,1006680
95,12/31/2021,1011533
96,12/24/2021,1015023
97,12/17/2021,1019952
98,12/10/2021,1027203
99,12/03/2021,1033737
100,11/26/2021,1035667
101,11/19/2021,1038525
102,11/12/2021,1039150
103,11/05/2021,1044500
104,10/29/2021,1046643
105,10/22/2021,1044998
106,10/15/2021,1041820
107,10/08/2021,1043945
108,10/01/2021,1038657
109,09/24/2021,1037231
110,09/17/2021,1033533
111,09/10/2021,1038218
112,09/03/2021,1045169
113,08/27/2021,1046697
114,08/20/2021,1053866
115,08/13/2021,1056846
116,08/06/2021,1060081
117,07/30/2021,1060529
118,07/23/2021,1056902
119,07/16/2021,1060991
120,07/09/2021,1058884
121,07/02/2021,1066780
122,06/25/2021,1074829
123,06/18/2021,1082948
124,06/11/2021,1092267
125,06/04/2021,1100513
126,05/28/2021,1107103
127,05/21/2021,1112830
128,05/14/2021,1116138
129,05/07/2021,1116719
130,04/30/2021,1118544
131,04/23/2021,1127582
132,04/16/2021,1128941
133,04/09/2021,1129090
134,04/02/2021,1136086
135,03/26/2021,1139608
136,03/19/2021,1140484
137,03/12/2021,1138572
138,03/05/2021,1136176
139,02/26/2021,1122378
140,02/19/2021,1100815
141,02/12/2021,1099530
142,02/05/2021,1106935
143,01/29/2021,1113745
144,01/22/2021,1114739
145,01/15/2021,1124648
146,01/08/2021,1120296
147,01/01/2021,1123544
148,12/25/2020,1131554
149,12/18/2020,1137619
150,12/11/2020,1138182
151,12/04/2020,1141316
152,11/27/2020,1126232
153,11/20/2020,1126911
154,11/13/2020,1127776
155,11/06/2020,1127412
156,10/30/2020,1123699
157,10/23/2020,1131850
158,10/16/2020,1128188
159,10/09/2020,1129956
160,10/02/2020,1134933
161,09/25/2020,1135577
162,09/18/2020,1139358
163,09/11/2020,1141778
164,09/04/2020,1148294
165,08/28/2020,1146566
166,08/21/2020,1157228
167,08/14/2020,1163680
168,08/07/2020,1167983
169,07/31/2020,1174737
170,07/24/2020,1182116
171,07/17/2020,1192727
172,07/10/2020,1187837
173,07/03/2020,1195204
174,06/26/2020,1188940
175,06/19/2020,1194443
176,06/12/2020,1191010
177,06/05/2020,1188064
178,05/29/2020,1180124
179,05/22/2020,1178181
180,05/15/2020,1168142
181,05/08/2020,1171242
182,05/01/2020,1170054
183,04/24/2020,1163748
184,04/17/2020,1153607
185,04/10/2020,1138585
186,04/03/2020,1119337
187,03/27/2020,1104160
188,03/20/2020,1090327
189,03/13/2020,1088704
190,03/06/2020,1086750
191,02/28/2020,1079086
192,02/21/2020,1078302
193,02/14/2020,1077850
194,02/07/2020,1077435
195,01/31/2020,1069976
196,01/24/2020,1066621
197,01/17/2020,1063073
198,01/10/2020,1063478
199,01/03/2020,1066027
